order_id,user_id,product_id,old_name,category,price,base_price,quantity,amount,status,region,priority,customer_name,order_date,discount_pct
100037,20037,P1037,Sci-Fi Book,Books,33882.03,33882.03,10,338820.3,Cancelled,West,Low,Sara Iyer,2024-08-03,5
100038,20038,P1038,Sunscreen,Beauty,30352.75,30352.75,8,242822.0,Returned,South,Low,Ishaan Verma,2024-10-17,10
100039,20039,P1039,Self-Help Book,Books,16792.65,16792.65,4,67170.6,Cancelled,South,High,Vivaan Reddy,2025-05-01,10
100040,20040,P1040,Face Cream,Beauty,22798.04,22798.04,10,227980.4,Pending,West,Medium,Ananya Sharma,2024-04-19,20
100041,20041,P1041,Olive Oil,Grocery,8835.54,8835.54,9,79519.86,Returned,North,Low,Diya Mehta,2024-05-16,20
100042,20042,P1042,Cereal Box,Grocery,49395.23,49395.23,8,395161.84,Returned,West,High,Sneha Mehta,2024-09-22,20
100043,,P1043,Sweater,Clothing,13901.7,13901.7,8,111213.6,Pending,East,Medium,Sara Reddy,2024-10-05,0
100044,20044,P1044,Air Fryer,Home & Kitchen,4074.85,4074.85,7,28523.95,Pending,South,High,Arjun Kapoor,2025-04-22,5
100045,,P1045,Smartphone,Electronics,41652.91,41652.91,10,416529.1,Completed,West,Medium,Priya Iyer,2025-02-03,20
100046,20046,P1046,Lipstick,Beauty,26934.12,26934.12,10,269341.2,Pending,West,High,Sneha Sharma,2025-02-02,0
100047,20047,P1047,Sci-Fi Book,Books,36222.86,36222.86,3,108668.58,Completed,West,Low,Aarav Verma,2025-03-14,0
100048,20048,P1048,Lipstick,Beauty,9127.36,9127.36,6,54764.16,Pending,West,Medium,Kiran Iyer,2025-03-07,0
100049,,P1049,Face Cream,Beauty,23541.83,23541.83,1,23541.83,Cancelled,South,Low,Vivaan Sharma,2024-09-10,0
100050,20050,P1050,Face Cream,Beauty,31085.72,31085.72,8,248685.76,Completed,South,Medium,Priya Gupta,2024-04-27,20
100051,20051,P1051,Shampoo,Beauty,48237.8,48237.8,1,48237.8,Cancelled,West,Medium,Kabir Verma,2024-09-05,0
100052,20052,P1052,Biography,Books,42522.15,42522.15,2,85044.3,Completed,East,Low,Priya Verma,2025-06-02,15
100053,20053,P1053,Blender,Home & Kitchen,42486.3,42486.3,2,84972.6,Returned,East,Low,Rahul Gupta,2025-03-21,0
100054,20054,P1054,Self-Help Book,Books,48275.41,48275.41,9,434478.69,Returned,West,Medium,Amit Iyer,2024-11-26,20
100055,20055,P1055,T-Shirt,Clothing,13982.47,13982.47,8,111859.76,Returned,East,High,Arjun Gupta,2025-05-14,0
100056,20056,P1056,Cookware Set,Home & Kitchen,17049.93,17049.93,5,85249.65,Completed,South,High,Neha Mehta,2024-09-03,15
100057,20057,P1057,Pasta Pack,Grocery,$22436.32,22436.32,5,112181.6,Pending,West,Low,Amit Nair,2025-04-29,10
100058,20058,P1058,Cricket Bat,Sports,21303.92,21303.92,6,127823.52,Cancelled,West,Medium,Meera Verma,2024-07-16,0
100059,20059,P1059,Camera,Electronics,26816.41,26816.41,3,80449.23,Pending,South,Low,Amit Kapoor,2024-10-16,0
100060,,P1060,Shampoo,Beauty,14847.51,14847.51,5,74237.55,Completed,South,Medium,Vivaan Kapoor,2024-10-26,15
100061,20061,P1061,Sweater,Clothing,43429.64,43429.64,1,43429.64,Cancelled,West,Medium,Ishaan Sharma,2024-09-15,20
100062,20062,P1062,Rice 5kg,Grocery,41114.68,41114.68,2,82229.36,Completed,South,High,Sara Verma,2024-09-11,0
100063,20063,P1063,Football,Sports,30335.57,30335.57,4,121342.28,Returned,West,Medium,Amit Rao,2024-11-08,10
100064,20064,P1064,Yoga Mat,Sports,30501.06,30501.06,4,122004.24,Pending,East,Low,Meera Gupta,2024-03-17,0
100065,20065,P1065,Tablet,Electronics,22552.66,22552.66,5,112763.3,Completed,South,Medium,Rahul Verma,2024-08-27,0
100066,20066,P1066,Sunscreen,Beauty,33076.09,33076.09,7,231532.63,Completed,South,Low,Rohan Gupta,2024-03-14,0
100067,20067,P1067,Jacket,Clothing,29772.45,29772.45,5,148862.25,Returned,North,Medium,Kiran Iyer,2025-05-27,10
100068,20068,P1068,Pasta Pack,Grocery,$4068.07,4068.07,7,28476.49,Cancelled,East,High,Amit Singh,2024-01-22,20
100069,20069,P1069,Biography,Books,28833.54,28833.54,3,86500.62,Returned,West,Medium,Amit Rao,2025-05-18,0
100070,20070,P1070,Coffee Beans,Grocery,20446.99,20446.99,2,40893.98,Pending,East,Medium,Sara Rao,2024-02-07,5
100071,,P1071,Headphones,Electronics,12657.32,12657.32,7,88601.24,Completed,West,Medium,Vikram Nair,2025-05-25,15
100072,,P1072,Rice 5kg,Grocery,10217.73,10217.73,5,51088.65,Returned,West,High,Divya Reddy,2024-06-11,0
100073,20073,P1073,Yoga Mat,Sports,,27634.96,2,55269.92,Returned,North,Low,Sneha Iyer,2025-06-05,15
100074,20074,P1074,Vacuum Cleaner,Home & Kitchen,41744.46,41744.46,4,166977.84,Returned,South,Medium,Divya Kapoor,2024-05-19,20
100075,20075,P1075,Headphones,Electronics,38645.12,38645.12,6,231870.72,Cancelled,North,Medium,Amit Singh,2025-05-16,20
100076,20076,P1076,Sneakers,Clothing,26952.1,26952.1,9,242568.9,Returned,West,Medium,Meera Singh,2025-01-27,0
100077,20077,P1077,Lipstick,Beauty,2230.18,2230.18,7,15611.26,Returned,South,Medium,Ananya Kapoor,2024-12-05,20
100078,20078,P1078,Monitor,Electronics,,42259.72,8,338077.76,Completed,South,Medium,Ananya Verma,2025-04-25,20
100079,20079,P1079,Cookware Set,Home & Kitchen,31181.81,31181.81,2,62363.62,Cancelled,West,Medium,Sneha Kapoor,2024-02-06,10
100080,20080,P1080,Smartphone,Electronics,31576.49,31576.49,4,126305.96,Completed,West,High,Diya Mehta,2024-06-19,15
100081,20081,P1081,Blender,Home & Kitchen,2347.25,2347.25,5,11736.25,Cancelled,East,Medium,Vikram Rao,2024-07-03,0
100082,20082,P1082,T-Shirt,Clothing,30494.11,30494.11,4,121976.44,Returned,South,High,Rohan Mehta,2024-09-18,15
100083,20083,P1083,Monitor,Electronics,23289.4,23289.4,9,209604.6,Pending,North,Medium,Amit Iyer,2025-03-10,15
100084,20084,P1084,Vacuum Cleaner,Home & Kitchen,42272.93,42272.93,7,295910.51,Returned,North,High,Priya Singh,2024-10-29,15
100085,20085,P1085,Blender,Home & Kitchen,48898.33,48898.33,5,244491.65,Completed,North,Low,Sara Reddy,2024-12-26,0
100086,20086,P1086,Cookbook,Books,31063.51,31063.51,3,93190.53,Completed,North,Medium,Vivaan Singh,2025-01-08,15
100087,20087,P1087,T-Shirt,Clothing,45485.91,45485.91,7,318401.37,Pending,South,High,Priya Kapoor,2025-05-28,0
100088,20088,P1088,Shampoo,Beauty,12885.66,12885.66,8,103085.28,Cancelled,East,High,Aditya Gupta,2024-08-19,20
100089,20089,P1089,Sci-Fi Book,Books,48365.12,48365.12,6,290190.72,Completed,West,High,Diya Mehta,2025-01-12,15
100090,,P1090,Biography,Books,29248.78,29248.78,6,175492.68,Completed,South,Medium,Pooja Nair,2024-08-14,15
100091,,P1091,Camera,Electronics,41201.57,41201.57,5,206007.85,Returned,North,High,Vivaan Iyer,2025-05-19,0
100092,20092,P1092,Smartphone,Electronics,44368.6,44368.6,8,354948.8,Cancelled,West,Low,Ananya Rao,2024-04-11,20
100093,20093,P1093,Cereal Box,Grocery,20435.39,20435.39,1,20435.39,Cancelled,South,Medium,Meera Nair,2024-04-11,15
100094,20094,P1094,Air Fryer,Home & Kitchen,45089.73,45089.73,1,45089.73,Returned,East,High,Rahul Verma,2024-08-05,15
100095,20095,P1095,Self-Help Book,Books,,48556.11,6,291336.66,Pending,South,Low,Pooja Reddy,2024-08-09,20
100096,20096,P1096,Shampoo,Beauty,16461.55,16461.55,10,164615.5,Completed,East,High,Pooja Iyer,2024-06-27,0
100097,20097,P1097,Novel,Books,6633.57,6633.57,4,26534.28,Cancelled,North,High,Ananya Rao,2025-06-22,0
100098,20098,P1098,Novel,Books,23838.49,23838.49,9,214546.41,Completed,West,Low,Divya Sharma,2025-06-17,0
100099,20099,P1099,Rice 5kg,Grocery,3088.23,3088.23,7,21617.61,Returned,North,Medium,Rahul Verma,2024-03-23,0
100100,20100,P1100,Dumbbell Set,Sports,3330.83,3330.83,10,33308.3,Cancelled,West,Low,Rahul Kapoor,2025-03-16,0
100101,20101,P1101,Face Cream,Beauty,42647.0,42647.0,9,383823.0,Pending,West,Medium,Neha Nair,2025-04-09,5
100102,20102,P1102,Rice 5kg,Grocery,15661.79,15661.79,5,78308.95,Cancelled,South,Low,Aditya Verma,2024-03-28,0
100103,20103,P1103,Rice 5kg,Grocery,37242.22,37242.22,3,111726.66,Completed,East,Low,Priya Rao,2024-02-22,0
100104,20104,P1104,Cricket Bat,Sports,17614.73,17614.73,4,70458.92,Pending,West,High,Priya Kapoor,2025-01-11,0
100105,20105,P1105,Perfume,Beauty,28726.3,28726.3,9,258536.7,Completed,East,High,Sara Nair,2024-12-25,0
100106,20106,P1106,Jeans,Clothing,28337.74,28337.74,3,85013.22,Completed,North,Low,Kiran Rao,2025-04-09,0
100107,20107,P1107,Jacket,Clothing,15616.29,15616.29,10,156162.9,Completed,North,High,Divya Sharma,2024-03-24,0
100108,20108,P1108,Pasta Pack,Grocery,24308.8,24308.8,5,121544.0,Pending,North,Medium,Sara Singh,2025-05-13,10
100109,20109,P1109,Biography,Books,2318.6,2318.6,10,23186.0,Completed,North,High,Kabir Gupta,2024-09-18,0
100110,20110,P1110,Blender,Home & Kitchen,436.11,436.11,3,1308.33,Pending,West,Low,Vikram Kapoor,2024-12-28,0
100111,20111,P1111,Rice 5kg,Grocery,21839.17,21839.17,2,43678.34,Cancelled,West,Low,Neha Iyer,2024-04-27,5
100112,20112,P1112,Headphones,Electronics,8635.07,8635.07,8,69080.56,Cancelled,North,Medium,Meera Rao,2025-02-14,10
100113,20113,P1113,Tablet,Electronics,43532.69,43532.69,4,174130.76,Cancelled,South,High,Diya Kapoor,2025-06-06,0
100114,20114,P1114,Perfume,Beauty,17587.43,17587.43,3,52762.29,Pending,North,High,Ishaan Singh,2024-06-05,20
100115,20115,P1115,Face Cream,Beauty,8898.45,8898.45,8,71187.6,Returned,West,Low,Amit Singh,2024-11-26,20
100116,,P1116,Biography,Books,,7590.32,8,60722.56,Cancelled,East,Low,Vikram Verma,2024-11-13,5
100117,20117,P1117,Rice 5kg,Grocery,2891.66,2891.66,2,5783.32,Completed,West,Medium,Vivaan Mehta,2024-07-11,0
100118,20118,P1118,Football,Sports,25093.3,25093.3,8,200746.4,Completed,East,Low,Ishaan Sharma,2024-09-10,15
100119,20119,P1119,Pasta Pack,Grocery,26227.22,26227.22,6,157363.32,Cancelled,East,Medium,Arjun Singh,2024-02-23,20
100120,20120,P1120,Biography,Books,,3342.3,7,23396.1,Cancelled,East,Low,Divya Gupta,2024-12-07,0
100121,20121,P1121,Dumbbell Set,Sports,45841.49,45841.49,7,320890.43,Pending,North,Medium,Arjun Gupta,2025-06-23,0
100122,20122,P1122,Sci-Fi Book,Books,$25449.0,25449.0,5,127245.0,Pending,South,Medium,Sneha Reddy,2024-08-19,0
100123,20123,P1123,T-Shirt,Clothing,14824.82,14824.82,9,133423.38,Completed,East,Low,Kiran Gupta,2024-06-15,0
100124,20124,P1124,Sunscreen,Beauty,40461.73,40461.73,8,323693.84,Completed,West,Medium,Meera Mehta,2024-10-18,20
100125,20125,P1125,Sci-Fi Book,Books,11738.45,11738.45,8,93907.6,Pending,East,Low,Rahul Mehta,2024-10-15,20
100126,20126,P1126,Cereal Box,Grocery,26396.62,26396.62,4,105586.48,Pending,East,High,Priya Kapoor,2024-04-15,15
100127,20127,P1127,Sunscreen,Beauty,42565.74,42565.74,3,127697.22,Cancelled,West,Low,Neha Verma,2024-08-15,20
100128,20128,P1128,Coffee Beans,Grocery,46527.07,46527.07,7,325689.49,Cancelled,South,Medium,Priya Reddy,2024-01-29,0
100129,20129,P1129,Monitor,Electronics,35749.48,35749.48,3,107248.44,Pending,North,Medium,Sneha Gupta,2025-04-25,5
100130,20130,P1130,Yoga Mat,Sports,$45297.58,45297.58,4,181190.32,Pending,West,High,Meera Iyer,2024-05-04,0
100131,20131,P1131,Sneakers,Clothing,31965.64,31965.64,2,63931.28,Completed,West,Low,Vikram Singh,2024-09-04,15
100132,20132,P1132,Jacket,Clothing,21490.48,21490.48,4,85961.92,Returned,South,Low,Vikram Nair,2024-03-10,10
100133,20133,P1133,Running Shoes,Sports,39331.3,39331.3,1,39331.3,Returned,West,High,Priya Iyer,2024-01-17,0
100134,20134,P1134,Face Cream,Beauty,17272.88,17272.88,2,34545.76,Cancelled,South,High,Arjun Gupta,2025-04-20,15
100135,,P1135,Olive Oil,Grocery,,40584.31,8,324674.48,Completed,East,High,Kabir Sharma,2024-11-19,0
100136,20136,P1136,Football,Sports,49456.68,49456.68,5,247283.4,Completed,South,Medium,Vivaan Nair,2024-10-06,0
100137,20137,P1137,Perfume,Beauty,21875.72,21875.72,8,175005.76,Returned,East,High,Sneha Nair,2025-06-15,0
100138,20138,P1138,Face Cream,Beauty,,36367.71,10,363677.1,Pending,East,Medium,Arjun Iyer,2024-11-09,5
100139,20139,P1139,Football,Sports,8373.91,8373.91,8,66991.28,Completed,East,Low,Rohan Sharma,2024-03-17,15
100140,20140,P1140,Sci-Fi Book,Books,18197.39,18197.39,3,54592.17,Completed,South,Low,Rahul Sharma,2024-05-09,0
100141,20141,P1141,Sweater,Clothing,18348.11,18348.11,10,183481.1,Completed,South,Low,Priya Nair,2025-03-30,20
100142,,P1142,Smartwatch,Electronics,6927.87,6927.87,6,41567.22,Cancelled,South,High,Ishaan Mehta,2025-06-14,5
100143,20143,P1143,Yoga Mat,Sports,13125.74,13125.74,8,105005.92,Pending,East,Low,Sneha Reddy,2024-05-05,0
100144,20144,P1144,Face Cream,Beauty,22629.53,22629.53,8,181036.24,Completed,East,Low,Aditya Kapoor,2024-10-24,0
100145,20145,P1145,Shampoo,Beauty,35604.86,35604.86,3,106814.58,Cancelled,South,High,Ananya Reddy,2025-05-20,0
100146,20146,P1146,Air Fryer,Home & Kitchen,28635.26,28635.26,9,257717.34,Pending,North,High,Sneha Kapoor,2025-02-24,20
100147,20147,P1147,Cereal Box,Grocery,3733.85,3733.85,2,7467.7,Returned,West,Low,Ananya Kapoor,2024-07-05,20
100148,20148,P1148,Sneakers,Clothing,25168.05,25168.05,2,50336.1,Pending,East,High,Meera Nair,2025-06-15,0
100149,20149,P1149,Face Cream,Beauty,12567.74,12567.74,9,113109.66,Cancelled,South,Low,Pooja Verma,2025-05-29,15
100150,20150,P1150,Dress,Clothing,47083.27,47083.27,10,470832.7,Cancelled,North,High,Amit Iyer,2024-08-03,20
100151,20151,P1151,Football,Sports,$30924.52,30924.52,9,278320.68,Cancelled,East,Medium,Kiran Iyer,2025-04-09,0
100152,20152,P1152,Novel,Books,7946.12,7946.12,8,63568.96,Pending,East,Low,Arjun Nair,2025-02-12,0
100153,20153,P1153,Perfume,Beauty,25773.26,25773.26,4,103093.04,Returned,North,Medium,Ananya Verma,2024-02-21,0
100154,20154,P1154,Cereal Box,Grocery,20935.83,20935.83,3,62807.49,Cancelled,East,High,Sneha Kapoor,2025-04-23,5
100155,20155,P1155,Vacuum Cleaner,Home & Kitchen,1207.66,1207.66,9,10868.94,Returned,South,High,Vivaan Sharma,2024-10-15,5
100156,20156,P1156,Football,Sports,$14323.13,14323.13,2,28646.26,Returned,South,Medium,Kiran Nair,2024-02-16,5
100157,20157,P1157,Smartwatch,Electronics,28112.75,28112.75,5,140563.75,Completed,West,Low,Pooja Iyer,2024-05-01,0
100158,20158,P1158,Tablet,Electronics,18691.26,18691.26,9,168221.34,Cancelled,South,High,Kiran Kapoor,2024-02-11,0
100159,20159,P1159,Smartphone,Electronics,35693.91,35693.91,9,321245.19,Returned,South,Low,Ananya Nair,2024-11-22,0
100160,20160,P1160,Cereal Box,Grocery,36979.0,36979.0,6,221874.0,Returned,East,Medium,Priya Nair,2024-04-22,5
100161,20161,P1161,Cricket Bat,Sports,39847.9,39847.9,1,39847.9,Returned,East,Low,Amit Singh,2024-08-21,15
100162,20162,P1162,Smartwatch,Electronics,24048.42,24048.42,10,240484.2,Returned,South,Low,Amit Verma,2024-07-14,0
100163,20163,P1163,Coffee Beans,Grocery,20968.08,20968.08,4,83872.32,Returned,West,Low,Ananya Kapoor,2024-07-31,10
100164,20164,P1164,Vacuum Cleaner,Home & Kitchen,26297.58,26297.58,3,78892.74,Returned,East,Low,Rohan Singh,2025-05-10,0
100165,20165,P1165,Jacket,Clothing,27926.43,27926.43,5,139632.15,Cancelled,South,Low,Arjun Mehta,2024-12-23,10
100166,20166,P1166,Perfume,Beauty,14425.08,14425.08,9,129825.72,Returned,West,Medium,Ananya Iyer,2024-02-13,0
100167,20167,P1167,Novel,Books,17350.86,17350.86,5,86754.3,Returned,South,High,Rohan Kapoor,2024-10-05,0
100168,20168,P1168,Smartwatch,Electronics,37057.5,37057.5,1,37057.5,Pending,South,High,Arjun Mehta,2024-04-12,15
100169,20169,P1169,Shampoo,Beauty,308.81,308.81,3,926.43,Returned,West,Medium,Sara Nair,2024-10-19,15
100170,20170,P1170,Monitor,Electronics,4518.56,4518.56,9,40667.04,Completed,South,Medium,Ishaan Sharma,2025-02-10,20
100171,20171,P1171,Olive Oil,Grocery,46833.61,46833.61,5,234168.05,Completed,North,Medium,Diya Nair,2024-10-18,5
100172,20172,P1172,Self-Help Book,Books,26239.71,26239.71,3,78719.13,Returned,East,High,Arjun Gupta,2025-04-14,15
100173,20173,P1173,Toaster,Home & Kitchen,753.51,753.51,5,3767.55,Pending,South,Low,Kiran Rao,2025-06-11,0
100174,,P1174,Tablet,Electronics,33479.33,33479.33,3,100437.99,Returned,East,High,Kiran Reddy,2025-04-02,20
100175,20175,P1175,Cookware Set,Home & Kitchen,15132.19,15132.19,1,15132.19,Cancelled,East,Low,Diya Mehta,2024-11-10,0
100176,20176,P1176,Cereal Box,Grocery,46159.15,46159.15,5,230795.75,Completed,East,Medium,Meera Gupta,2025-05-04,0
100177,20177,P1177,Cereal Box,Grocery,18712.56,18712.56,8,149700.48,Pending,South,Low,Aditya Kapoor,2025-04-02,10
100178,20178,P1178,Biography,Books,3951.23,3951.23,1,3951.23,Pending,South,High,Vikram Mehta,2024-04-29,15
100179,20179,P1179,Sweater,Clothing,,29178.23,9,262604.07,Returned,North,Medium,Neha Mehta,2024-02-29,10
100180,20180,P1180,Coffee Beans,Grocery,36177.84,36177.84,1,36177.84,Pending,North,High,Aditya Kapoor,2024-03-02,0
100181,20181,P1181,Rice 5kg,Grocery,14390.18,14390.18,3,43170.54,Returned,East,Medium,Kiran Rao,2024-03-23,15
100182,20182,P1182,Self-Help Book,Books,6692.84,6692.84,2,13385.68,Pending,West,Low,Meera Sharma,2024-01-24,0
100183,20183,P1183,Cereal Box,Grocery,21235.2,21235.2,4,84940.8,Pending,West,Medium,Kabir Verma,2024-02-02,20
100184,20184,P1184,Sci-Fi Book,Books,30765.41,30765.41,1,30765.41,Pending,South,High,Vivaan Mehta,2024-02-19,0
100185,20185,P1185,Novel,Books,20143.15,20143.15,4,80572.6,Completed,South,Low,Meera Singh,2024-11-22,10
100186,20186,P1186,Cricket Bat,Sports,11883.36,11883.36,9,106950.24,Pending,West,Medium,Pooja Singh,2024-06-28,15
100187,20187,P1187,Sci-Fi Book,Books,$27814.74,27814.74,6,166888.44,Returned,East,Low,Ananya Iyer,2025-01-20,0
100188,20188,P1188,Sunscreen,Beauty,23702.27,23702.27,5,118511.35,Pending,West,High,Neha Kapoor,2025-06-26,0
100189,20189,P1189,Olive Oil,Grocery,12787.03,12787.03,2,25574.06,Returned,East,High,Kabir Sharma,2024-10-01,5
100190,20190,P1190,Self-Help Book,Books,30165.96,30165.96,4,120663.84,Pending,West,High,Arjun Iyer,2024-01-16,0
100191,20191,P1191,Sweater,Clothing,5909.94,5909.94,8,47279.52,Pending,South,Medium,Pooja Nair,2024-10-16,5
100192,20192,P1192,Cereal Box,Grocery,32453.63,32453.63,6,194721.78,Returned,West,High,Sneha Nair,2024-07-27,0
100193,20193,P1193,Vacuum Cleaner,Home & Kitchen,2333.49,2333.49,3,7000.47,Completed,East,Low,Amit Rao,2024-10-29,0
100194,20194,P1194,Jacket,Clothing,11539.43,11539.43,4,46157.72,Returned,East,Medium,Sneha Mehta,2025-04-16,0
100195,,P1195,Biography,Books,8504.82,8504.82,8,68038.56,Pending,North,Low,Aditya Sharma,2024-01-07,5
100196,,P1196,Sweater,Clothing,11610.1,11610.1,1,11610.1,Pending,West,Medium,Divya Mehta,2025-05-14,0
100197,20197,P1197,Smartwatch,Electronics,$27604.6,27604.6,9,248441.4,Cancelled,East,High,Neha Gupta,2024-04-19,0
100198,,P1198,Dumbbell Set,Sports,12086.39,12086.39,5,60431.95,Cancelled,East,Medium,Kiran Mehta,2024-09-06,15
100199,20199,P1199,Jacket,Clothing,34217.88,34217.88,1,34217.88,Completed,West,Medium,Sneha Sharma,2024-01-10,15
100200,20200,P1200,T-Shirt,Clothing,25017.93,25017.93,6,150107.58,Completed,North,High,Amit Mehta,2024-10-04,0
100201,,P1201,Camera,Electronics,46282.96,46282.96,10,462829.6,Completed,South,Medium,Kabir Singh,2024-05-27,20
100202,20202,P1202,Lipstick,Beauty,46447.3,46447.3,10,464473.0,Pending,West,Low,Arjun Rao,2024-05-23,20
100203,20203,P1203,Novel,Books,25064.6,25064.6,1,25064.6,Completed,West,High,Arjun Singh,2025-02-10,20
100204,20204,P1204,Blender,Home & Kitchen,31724.44,31724.44,8,253795.52,Returned,South,Medium,Kiran Rao,2024-07-09,15
100205,20205,P1205,Football,Sports,4330.42,4330.42,4,17321.68,Completed,North,Medium,Ananya Rao,2024-11-20,0
100206,20206,P1206,Laptop,Electronics,309.5,309.5,6,1857.0,Cancelled,North,High,Neha Mehta,2025-06-08,5
100207,20207,P1207,Laptop,Electronics,4526.46,4526.46,10,45264.6,Cancelled,West,High,Kiran Verma,2024-09-05,10
100208,20208,P1208,Dumbbell Set,Sports,34281.53,34281.53,5,171407.65,Cancelled,East,Medium,Ishaan Rao,2024-10-09,5
100209,20209,P1209,Vacuum Cleaner,Home & Kitchen,39144.2,39144.2,4,156576.8,Returned,South,Medium,Sara Sharma,2025-02-09,0
100210,20210,P1210,Sunscreen,Beauty,19025.5,19025.5,8,152204.0,Cancelled,West,Low,Ananya Iyer,2024-11-24,10
100211,20211,P1211,Cookbook,Books,23976.54,23976.54,7,167835.78,Cancelled,East,Low,Sneha Singh,2024-09-05,0
100212,20212,P1212,Coffee Beans,Grocery,40833.9,40833.9,2,81667.8,Pending,South,Low,Aarav Mehta,2024-08-02,5
100213,20213,P1213,Perfume,Beauty,,41572.53,7,291007.71,Returned,South,Low,Rohan Gupta,2025-03-09,20
