customer_id,customer_name,email,customer_type,registration_date,valid_email
C068,Benjamin Mclean,joseph71@example.org,Regular,2025-10-15,True
C069,Jamie Stafford,yferguson@example.net,Premium,2025-06-13,True
C070,William Smith,hcox@example.com,Premium,2025-10-09,True
C071,James Johnson,pamela71@example.com,Regular,2025-12-07,True
C072,Tina Bennett,davidpalmer@example.com,VIP,2024-07-13,True
C073,Sherry Ruiz,michael97@example.com,Regular,2023-09-21,True
C074,Charles Brown,anthony31@example.com,Premium,2026-07-03,True
C075,Erika Barrera,juan66@example.org,Premium,2025-11-28,True
C076,Mark Gilmore,qsmith@example.com,Premium,2025-11-06,True
C077,Ann Mayo,jillramirez@example.org,Regular,2025-07-26,True
C078,Lindsay Smith,hvaughn@example.org,VIP,2024-04-15,True
C079,Eric Riggs,zmaxwell@example.com,Regular,2025-08-27,True
C080,Kim Cooper,kennedyamber@example.org,VIP,2023-11-15,True
C081,Edward Chandler,nicholasdavis@example.net,Premium,2025-08-26,True
C082,Erin Roberts,blackburnchristy@example.com,Premium,2025-02-07,True
C083,Lacey Kelly,jessicarowland@example.com,Regular,2024-09-23,True
C084,Amy Willis,srobinson@example.com,Regular,2024-05-28,True
C085,Tina Sanchez,krystal46@example.net,Regular,2025-02-23,True
C086,Robert Welch,franklinnicholas@example.net,Regular,2026-02-20,True
C087,Lance Buckley,michael73@example.com,Regular,2024-09-06,True
C088,Joseph Rodriguez,belltonya@example.net,VIP,2023-04-13,True
C089,Christopher Mcguire,armstrongscott@example.org,VIP,2025-11-01,True
C090,James Watts,jenningsrobert@example.com,Regular,2024-12-16,True
C091,Carlos Macias,jacksonedwin@example.net,Premium,2023-01-19,True
C092,Christy Collins,matthew92@example.com,Premium,2025-12-30,True
C093,Melissa Pena,dawn46@example.org,VIP,2025-07-04,True
C094,Robert Nelson,jonathanthomas@example.net,Premium,2025-02-13,True
C095,Juan Long,rebeccastone@example.net,Premium,2024-09-01,True
C096,Amy Weeks,brandon39@example.com,Premium,2024-04-03,True
C097,Kyle Huffman,mtorres@example.com,Premium,2024-05-21,True
C098,Chad Hughes,michelle04@example.org,Premium,2025-11-06,True
C099,Hector Shannon,beasleymichael@example.org,Regular,2025-10-20,True
C100,Shawn Love,htran@example.org,Regular,2025-11-26,True
C101,Matthew Smith,abigailgriffith@example.net,Regular,2025-02-03,True
C102,Elijah Watts,emiller@example.com,Regular,2026-06-22,True
C103,Tracy Nguyen MD,bradley83@example.org,Premium,2026-03-11,True
C104,Morgan Atkins,johnsonjason@example.org,Regular,2025-12-08,True
C105,Karen Barnes,dawnnelson@example.org,Regular,2024-12-23,True
C106,Julie Vargas,sean81@example.net,Regular,2025-11-05,True
C107,Robert Hughes,chale@example.org,Regular,2025-01-11,True
C108,Jon Duncan,agutierrez@example.org,Regular,2026-05-09,True
C109,Jacob Nelson,hallerik@example.com,Regular,2025-04-08,True
C110,Sheila Moody,restrada@example.net,Premium,2024-06-09,True
C111,Dr. Raymond Herrera,ygriffith@example.org,Regular,2023-02-25,True
C112,Daniel Robinson,brandikelly@example.net,VIP,2025-03-28,True
C113,Scott Mills,dbradley@example.net,Premium,2025-11-05,True
C114,Dr. Ralph Santos MD,aprilrobinson@example.org,VIP,2025-08-18,True
C115,Mark Wilson,smithjames@example.net,Regular,2023-01-04,True
C116,Stephanie Scott,walkerrobert@example.net,Regular,2026-01-02,True
C117,Diane Thompson,ricky39@example.com,Premium,2025-05-27,True
C118,Alexis Cummings,jonesashley@example.com,Premium,2023-12-10,True
C119,Martha Adams,marksdonald@example.org,Regular,2025-06-01,True
C120,Melissa Wright,dcook@example.org,VIP,2024-08-07,True
C121,Patrick Monroe,kyle57@example.net,VIP,2025-06-25,True
C122,Angela Murray,qjohnson@example.org,Regular,2023-06-02,True
C123,Bethany Le,fernandeztammy@example.net,VIP,2024-05-29,True
C124,John Rivera,kelly14@example.com,VIP,2023-09-01,True
C125,John Mcpherson,ubarber@example.org,Regular,2024-02-02,True
C126,Lawrence Miller,ojordan@example.org,Premium,2024-07-21,True
C127,Katelyn Marsh,danielmccormick@example.net,Premium,2024-05-23,True
C128,Jesus Chandler,ireid@example.org,Premium,2026-02-20,True
C129,William Johnson,michelle77@example.com,Regular,2026-03-31,True
C130,Terry Clark MD,tmills@example.net,Regular,2024-08-27,True
C131,Sarah Miller,colejose@example.net,Premium,2023-02-27,True
C132,Jacqueline Hart,craigshah@example.net,VIP,2025-06-16,True
C133,Kevin Clarke,ndavis@example.net,VIP,2023-08-16,True
C134,Nichole Smith,william12@example.org,VIP,2023-03-01,True
C135,Keith Butler,joshua06@example.org,Premium,2025-03-10,True
C136,Brian Curtis,igutierrez@example.com,Regular,2024-08-26,True
C137,Jonathan Daniel,jeffreyhunt@example.org,Premium,2025-01-26,True
C138,Jacqueline Freeman,lcurtis@example.org,Regular,2025-02-17,True
C139,Jacqueline James DVM,wilsonbrittney@example.net,Regular,2025-08-01,True
C140,Laura Fuentes,ecross@example.org,Premium,2025-11-08,True
C141,Randy Jones,josephcampbell@example.net,Premium,2024-07-15,True
C142,Samuel Harris,wbrewer@example.com,Regular,2023-04-05,True
C143,Mary Gregory,bryantmichael@example.com,VIP,2024-01-24,True
C144,Taylor Perez,chenalexis@example.net,Regular,2023-08-17,True
C145,Robert Lamb,pattersondaniel@example.org,Regular,2023-08-10,True
C146,Emma Burns,mariahmccann@example.com,VIP,2025-08-25,True
C147,David Young,angelacaldwell@example.com,VIP,2023-12-10,True
C148,Kenneth Carter,rileyann@example.com,VIP,2026-01-25,True
C149,Ashley Barker,xwoods@example.org,Regular,2025-12-10,True
C150,Thomas Rowe,danielle70@example.org,Regular,2024-11-02,True
C151,Samantha Campbell,melvin19@example.org,Regular,2023-04-26,True
C152,Meghan Reyes,icox@example.org,VIP,2025-03-15,True
C153,Lori Mccoy,wtorres@example.com,Regular,2025-03-14,True
C154,Kathryn Harrington DDS,vmartinez@example.com,Premium,2023-07-16,True
C155,Olivia Espinoza,nielsendaniel@example.org,Regular,2026-04-26,True
C156,Megan Long,jacksonjohn@example.org,VIP,2025-08-26,True
C157,Martin Hodges,benjamin56@example.org,Regular,2024-08-22,True
C158,Lindsey Jones,along@example.com,VIP,2025-03-02,True
C159,Kenneth Hernandez,zachary64@example.com,Regular,2026-05-21,True
C160,Jonathon Lewis,sandra92@example.com,Regular,2023-06-20,True
C161,Anthony Crane DVM,hflynn@example.net,VIP,2024-03-12,True
C162,Savannah Fitzgerald,jacquelinenelson@example.org,Regular,2025-11-14,True
C163,Brandy Thompson,andersenangela@example.org,Premium,2023-01-06,True
C164,Paul Clayton,timothycarpenter@example.net,Regular,2025-12-01,True
C165,Larry West,evan78@example.com,VIP,2025-12-13,True
C166,Jessica Weaver,brittanydyer@example.org,Regular,2024-05-23,True
C167,Christopher Neal,heather03@example.net,VIP,2023-12-27,True
C168,Mike Macdonald,wjohnson@example.com,Regular,2023-12-21,True
C169,Christopher Martin,fodonnell@example.com,Regular,2024-02-02,True
C170,Dr. Mary Hahn,qvalenzuela@example.net,Regular,2023-12-31,True
C171,Edward Ryan,smithmatthew@example.net,Regular,2025-01-07,True
C172,Cynthia Chavez,anthonyfriedman@example.net,VIP,2025-12-25,True
C173,Beth Frank,juliaroman@example.net,VIP,2026-06-19,True
C174,Kimberly Pacheco,pfinley@example.org,VIP,2025-03-27,True
C175,Lucas Jones,marilyn47@example.org,Regular,2025-11-15,True
C176,Heather Maynard,katherinepugh@example.org,VIP,2025-07-11,True
C177,Michael Jones,anitasalas@example.net,Premium,2023-11-06,True
C178,Tony Smith,rivasshawn@example.com,VIP,2025-02-08,True
C179,Joshua Lopez DVM,mendozadenise@example.net,VIP,2024-12-17,True
C180,Jeffrey Kelly,zhuerta@example.net,Premium,2023-03-06,True
C181,Rhonda Perez,bushedward@example.org,Regular,2026-01-21,True
C182,Valerie Adams,kjordan@example.org,VIP,2026-05-30,True
C183,Julia Butler,kimberlyestes@example.com,Premium,2025-07-31,True
C184,Steven Fowler,vickitaylor@example.com,Premium,2024-08-22,True
C185,Antonio Howell,david02@example.org,Regular,2025-08-31,True
C186,Matthew Walker,gabriel14@example.com,VIP,2024-09-03,True
C187,James Nguyen,douglasblankenship@example.org,VIP,2023-08-01,True
C188,Susan Ingram,kathy59@example.org,Premium,2024-05-28,True
C189,Robert Jones,gregory72@example.org,Regular,2026-04-24,True
C190,Sheila Campbell,hardinglinda@example.net,VIP,2025-08-18,True
C191,Cassandra Davidson,hernandezstacey@example.org,Premium,2025-03-19,True
C192,Thomas Davis,zwallace@example.net,Regular,2026-07-08,True
C193,Robert Hall,robyn53@example.org,VIP,2025-02-11,True
C194,Lisa Mills,hallalexander@example.org,Premium,2025-10-31,True
C195,Keith White,nancy34@example.org,Regular,2025-04-17,True
C196,Pamela Spence,robert86@example.org,Premium,2023-05-06,True
C197,Jason Jones,mariacastillo@example.com,Premium,2024-01-09,True
C198,Dr. John Clarke,lawrence01@example.org,VIP,2023-03-08,True
C199,Gerald Duran,henrydaniel@example.net,Regular,2026-02-19,True
C200,David Franco,jacobcalderon@example.org,Premium,2023-10-12,True
C201,Christine Price,gwarren@example.com,Premium,2026-03-06,True
C202,Sherri Weaver,upatterson@example.com,Regular,2024-10-25,True
C203,Pamela Johns,marioanderson@example.org,VIP,2023-02-28,True
C204,Christine Chen,rebecca15@example.org,Regular,2023-11-05,True
C205,Gregory Grant,udecker@example.com,Premium,2025-01-29,True
C206,William Heath,simpsongina@example.net,VIP,2026-05-26,True
C207,Michelle Reid,harriskimberly@example.com,Premium,2023-08-13,True
C208,Andrew Rodriguez,ystrong@example.org,Regular,2023-11-23,True
C209,James Ferguson,david97@example.com,Regular,2024-09-19,True
C210,Paul Prince,cvelasquez@example.org,Regular,2024-12-20,True
C211,Troy Lindsey,lprince@example.net,Premium,2023-01-12,True
C212,Beverly Ferguson,brooke00@example.com,Premium,2024-12-31,True
C213,Daniel Peterson DDS,julianoble@example.com,Premium,2026-05-21,True
C214,Jason Barnes,bryan13@example.com,VIP,2023-09-13,True
C215,Eileen Haynes,crystal14@example.com,Regular,2025-10-22,True
C216,Alexander Patton,elandry@example.net,Regular,2025-02-06,True
C217,Lauren Anderson DDS,adamsmegan@example.com,Premium,2023-08-21,True
C218,Richard Jones,andreaflynn@example.org,VIP,2024-03-02,True
C219,Mark Hall,breeves@example.net,Regular,2025-10-28,True
C220,Eric Anderson,zhayden@example.com,VIP,2025-03-16,True
C221,Ivan Ramos,cantusteven@example.org,Regular,2024-01-28,True
C222,Amy Simpson,bryanjay@example.net,VIP,2025-08-04,True
C223,Daniel Hanson,jmendoza@example.net,Regular,2025-05-15,True
C224,Robin Taylor,sandra47@example.net,VIP,2025-09-23,True
C225,Jose Jensen,jeffreyperry@example.com,VIP,2025-07-01,True
C226,Jorge Martin,michaelshields@example.net,VIP,2024-11-01,True
C227,Mario Clark,jfrench@example.org,Premium,2026-04-12,True
C228,Jessica Reyes,wfox@example.org,Regular,2023-01-04,True
C229,Jennifer Johnson,zachary78@example.com,VIP,2025-01-26,True
C230,John Irwin,justin89@example.org,Regular,2025-08-22,True
C231,Melissa Benson,william11@example.com,Premium,2026-07-07,True
C232,Jeffrey Fry,lisa05@example.net,Regular,2025-05-01,True
C233,Melissa Molina,tony33@example.org,Regular,2025-03-28,True
C234,Michael Evans,madison79@example.org,Regular,2023-04-10,True
C235,David Sanchez,zstewart@example.net,Premium,2025-09-03,True
C236,Dr. Angela Casey,devinsteele@example.com,Premium,2024-02-28,True
C237,Andrew Larson,nancy63@example.com,Premium,2025-07-15,True
C238,Dawn Castillo,samuelwallace@example.net,VIP,2024-10-12,True
C239,Jill Thomas,karen95@example.org,Premium,2024-11-20,True
C240,Frances Weber,jennifer72@example.org,Premium,2023-04-09,True
C241,Max Rice,ygriffin@example.com,Premium,2026-06-04,True
C242,Carrie Young,rkelly@example.com,Premium,2024-02-01,True
C243,Justin Cruz,karen40@example.net,Premium,2025-08-03,True
C244,David Wallace,robert94@example.net,VIP,2024-10-24,True
C245,Natalie Morales,ginarhodes@example.net,Premium,2024-06-24,True
C246,Linda Obrien,michelle87@example.com,Premium,2024-05-02,True
C247,Danielle Young,colleen84@example.com,Premium,2023-02-28,True
C248,Karen Newman,adamblake@example.com,Premium,2025-07-18,True
C249,Alec Schroeder,edavis@example.com,Regular,2024-12-16,True
C250,Theresa Garrison,abrown@example.org,Regular,2023-01-07,True
C251,Danielle Hall,qcarson@example.com,Premium,2026-06-11,True
C252,Alexis Morton,tammysmith@example.org,VIP,2023-11-28,True
C253,Amy Barrett,xortiz@example.com,Premium,2025-04-06,True
C254,Heather Carr,mparker@example.com,Premium,2025-03-15,True
C255,David Garcia,andrewgonzalez@example.net,Regular,2026-01-09,True
C256,Elizabeth Brooks,jodicrawford@example.net,VIP,2024-04-16,True
C257,Christine Williams,krausefrank@example.org,VIP,2025-05-02,True
C258,Amanda Robbins,betty57@example.net,Premium,2025-09-03,True
C259,Daniel Lowery,ejacobs@example.net,Regular,2025-02-11,True
C260,Wendy Reyes,jodimiller@example.net,VIP,2023-01-08,True
C261,Marilyn Davis,gregory67@example.net,Premium,2023-05-29,True
C262,Christina Wilson,wwilson@example.net,VIP,2023-11-21,True
C263,Lisa Brown,morganmercedes@example.net,Regular,2023-02-01,True
C264,Spencer Rodriguez,christopher74@example.net,Premium,2026-05-21,True
C265,Richard Williams,tuckersteven@example.net,Regular,2025-07-16,True
C266,Amber Townsend,michaelfreeman@example.net,VIP,2023-02-16,True
C267,Angela Riley,floresjeanne@example.com,Premium,2025-11-04,True
C268,Walter Franklin,jackklein@example.com,Regular,2023-12-22,True
C269,Dr. Mary Campbell,hallangela@example.com,VIP,2023-12-22,True
C270,Marc Mitchell,janice49@example.com,VIP,2025-01-05,True
C271,Kyle Davila,vaughankayla@example.org,Premium,2023-01-12,True
C272,Deanna Jones,carpenterjennifer@example.net,Regular,2023-01-25,True
C273,Mark Moon,wsimmons@example.org,VIP,2023-02-04,True
C274,Dr. Jared Ray DDS,rbrown@example.net,Regular,2026-01-10,True
C275,Samantha Morgan,portiz@example.org,Premium,2025-11-30,True
C276,Robert Benton MD,jasonlynch@example.com,Regular,2023-01-04,True
C277,Ashley Jones,vboone@example.org,Regular,2025-06-29,True
C278,Susan Garza,eric08@example.org,Regular,2023-11-30,True
C279,Gail Collins,xmeyer@example.org,Premium,2024-10-16,True
C280,Nancy Hall,whitelindsey@example.com,Premium,2026-06-19,True
C281,Carlos Jackson,lekayla@example.org,VIP,2023-03-31,True
C282,Kimberly Ortiz,kingmark@example.org,VIP,2025-02-02,True
C283,Sheri Townsend,denise36@example.net,Premium,2024-02-19,True
C284,Cody Franklin,dominique88@example.org,Premium,2024-12-09,True
C285,Christina Garcia,mwhite@example.net,VIP,2025-04-14,True
C286,James Perkins,amy51@example.net,Regular,2024-01-12,True
C287,Samantha Fitzgerald,millervictoria@example.org,VIP,2024-01-30,True
C288,Dylan Parks,eweaver@example.com,VIP,2024-11-09,True
C289,Richard Gamble,thomasvanessa@example.com,VIP,2024-12-15,True
C290,Danielle Nelson,jasonkelly@example.com,VIP,2024-04-28,True
C291,Jennifer Chavez,johnsonjoseph@example.org,VIP,2024-12-24,True
C292,Michael Johnson,amandajackson@example.com,Regular,2024-11-27,True
C293,Jason White,gomezmary@example.org,VIP,2024-04-28,True
C294,Stephen Vega,barnettstacy@example.com,Regular,2024-12-26,True
C295,James Mills,millerjared@example.net,Regular,2023-07-14,True
C296,Angela Torres,simpsonrandall@example.net,Premium,2024-11-08,True
C297,Michelle Lowery,icook@example.com,Premium,2025-12-29,True
C298,Danny Hoffman,nichole02@example.net,Premium,2025-12-03,True
C299,Andrew Phillips,frobinson@example.org,VIP,2023-10-02,True
C300,Jordan Byrd,nwatts@example.org,Premium,2025-03-29,True
C301,Linda Buckley,michael64@example.com,Premium,2026-05-16,True
C302,Anna Mitchell,christopher99@example.net,Regular,2023-03-17,True
C303,Todd Harrison,hgarcia@example.net,Premium,2025-05-15,True
C304,Ronald Peters,kcoleman@example.org,Regular,2023-11-03,True
C305,Mark Proctor,maddenjohn@example.com,Regular,2026-03-27,True
C306,Ronnie Middleton,ronaldhall@example.net,Premium,2025-06-11,True
C307,Katie Smith,frodriguez@example.org,Premium,2024-03-12,True
C308,Tommy Cohen,jlewis@example.org,Premium,2024-02-02,True
C309,Cynthia Wiley,byrdstephanie@example.org,Regular,2023-11-27,True
C310,Jessica Garner,jennifercollins@example.com,Premium,2025-02-22,True
C311,Dale Sharp,lallen@example.org,VIP,2024-04-27,True
C312,Thomas Fleming,hallen@example.com,Regular,2026-02-05,True
C313,Brittany Miller,tbecker@example.org,Regular,2024-01-31,True
C314,Rebecca Howard,kellysmith@example.org,Regular,2024-04-05,True
C315,Michaela Brewer,shane29@example.org,Regular,2025-03-14,True
C316,Jillian Rivera,pjones@example.com,VIP,2023-08-18,True
C317,Christopher Rodriguez,burtonjasmine@example.org,Premium,2023-02-19,True
C318,Daniel Stone,christinamcintyre@example.com,Regular,2023-02-07,True
C319,Ashley Swanson,shannongraves@example.org,VIP,2026-03-15,True
C320,Mitchell Larsen,jerryjames@example.org,Regular,2024-02-06,True
C321,Eric Miller,jessicamunoz@example.net,Regular,2026-03-23,True
C322,Eric Williamson,garystuart@example.net,Premium,2025-10-29,True
C323,Jennifer Anderson,thompsonkevin@example.org,Premium,2026-02-16,True
C324,Heather Weaver,parksapril@example.com,Regular,2026-01-09,True
C325,Jeffery Hunt,zacharyrichmond@example.org,Regular,2025-02-25,True
C326,Brent Evans,mmitchell@example.org,Premium,2025-01-11,True
C327,Ronald Morales,dsteele@example.net,Premium,2023-05-22,True
C328,Jesus Arnold,evelyn23@example.org,VIP,2026-01-15,True
C329,Jack Johnson,allenelaine@example.org,VIP,2023-01-05,True
C330,Christine Schmidt,johnsonnathan@example.org,VIP,2025-03-04,True
C331,Taylor Andrews,jacobbates@example.org,Premium,2024-05-07,True
C332,Miranda Burton,jacquelinecallahan@example.org,Premium,2024-09-03,True
C333,Dustin Brown,turnersean@example.com,Premium,2025-03-05,True
C334,Michelle Williams,bmalone@example.com,Regular,2026-04-05,True
C335,Kyle Cunningham,alan76@example.org,Regular,2024-06-19,True
C336,Kathleen Pope,brittanykirby@example.com,VIP,2024-11-03,True
C337,Francisco Moore,brownrobert@example.net,VIP,2025-08-29,True
C338,Veronica Hanna,stephanierussell@example.org,Regular,2023-04-08,True
C339,Jonathan Gutierrez,coreyrichardson@example.org,Regular,2023-04-19,True
C340,Christopher Hunter,yphelps@example.com,VIP,2025-10-22,True
C341,Jared Holmes,ortizalejandro@example.net,VIP,2026-04-30,True
C342,Tonya Sanchez,sking@example.com,Regular,2024-11-26,True
C343,Tracy Little,stephenrios@example.org,VIP,2024-12-27,True
C344,Heather Brown DVM,singletonmichael@example.com,VIP,2025-10-19,True
C345,Rebecca Patel,ewhite@example.com,Premium,2024-09-06,True
C346,Jodi Thompson,likrista@example.com,Regular,2023-10-05,True
C347,Joseph Pacheco,christian37@example.net,Regular,2024-10-14,True
C348,Patrick Duran,feliciamoore@example.org,Premium,2026-05-07,True
C349,David Lopez,tparks@example.com,Regular,2025-04-17,True
C350,Nicole Dougherty,tonya52@example.org,Regular,2024-09-28,True
C351,Lauren Buck,lmaldonado@example.net,VIP,2026-05-23,True
C352,Donald Brown,cynthiamendoza@example.com,VIP,2025-01-25,True
C353,Suzanne Molina,harrellsusan@example.net,VIP,2024-10-19,True
C354,Diane Stone,adamcruz@example.org,Regular,2025-05-22,True
C355,Robert Terry,ymartinez@example.org,VIP,2024-08-27,True
C356,Christina Osborn,william45@example.net,Premium,2026-01-02,True
C357,Paula Gates,todd53@example.com,Premium,2023-04-28,True
C358,Jennifer Conner,christopher07@example.net,Regular,2025-05-12,True
C359,Vanessa Murray,ywilliams@example.net,Premium,2025-11-22,True
C360,John Lee,jenniferschmidt@example.org,VIP,2024-06-30,True
C361,Amy Thompson,shughes@example.net,Premium,2023-05-19,True
C362,Kayla Rush,vanessapatton@example.com,VIP,2026-03-08,True
C363,Angela Ferguson,brittany19@example.org,Regular,2024-06-10,True
C364,Carol Chang,porterchristopher@example.com,Premium,2024-12-09,True
C365,Karen Elliott,njohnson@example.net,Regular,2024-10-26,True
C366,Erin Johnston,nicolesawyer@example.net,VIP,2024-05-01,True
C367,Jacqueline Norton,robert12@example.org,Premium,2026-02-21,True
C368,Michelle Cantu,robertthornton@example.org,VIP,2026-02-09,True
C369,Michael Nixon,zavalascott@example.com,Premium,2024-11-15,True
C370,Amanda Bradford,johnsondonald@example.org,Regular,2024-12-30,True
C371,Mckenzie Hall,ccastillo@example.org,Regular,2023-09-26,True
C372,David Barrera,savannah80@example.org,Premium,2023-06-28,True
C373,Tina Patterson,fcallahan@example.org,Premium,2023-07-21,True
C374,Scott Olsen,ksmith@example.org,VIP,2024-05-15,True
C375,Kimberly Robinson,christophergibson@example.net,Premium,2025-08-23,True
C376,Thomas Duncan DVM,sharpian@example.net,Premium,2026-04-25,True
C377,Jodi Hernandez,rgonzalez@example.com,Premium,2024-12-29,True
C378,Jill Harris,hbrown@example.org,Premium,2023-11-23,True
C379,Christopher Frazier,juliewilson@example.net,Regular,2023-03-13,True
C380,Stacey Stark,nlee@example.net,Premium,2026-03-07,True
C381,Jill Diaz,hblack@example.com,Regular,2023-02-22,True
C382,Jody Hansen,justin99@example.net,VIP,2024-02-21,True
C383,Crystal Benson,marypatel@example.net,VIP,2023-07-03,True
C384,Bruce Trujillo,tammycrawford@example.com,Regular,2024-03-01,True
C385,Manuel Michael,howegabriel@example.net,Regular,2025-04-28,True
C386,Christopher Murray,creeves@example.org,VIP,2023-11-02,True
C387,Rachel Tanner,roberthobbs@example.com,Premium,2025-06-30,True
C388,Wendy Wood,proy@example.net,Regular,2025-04-10,True
C389,Lauren Wilkinson,traceysmith@example.com,Premium,2023-08-15,True
C390,Leslie Johnson,mitchellallison@example.org,Regular,2023-03-27,True
C391,Dawn Pace,jimenezjeffery@example.org,Regular,2026-02-01,True
C392,Shawn Hampton DVM,marcus51@example.net,VIP,2026-05-15,True
C393,Scott Schwartz,ubrown@example.org,VIP,2023-10-16,True
C394,Rachel Murillo,christiankenneth@example.com,VIP,2023-03-31,True
C395,Erica Stanley,jo14@example.org,Premium,2023-07-03,True
C396,Michael Serrano,carol21@example.net,Premium,2023-12-02,True
C397,Kevin Wells,kgeorge@example.com,Regular,2023-08-11,True
C398,Jasmine Ward,johnkelly@example.net,VIP,2025-02-19,True
C399,Laura Wood,alleneric@example.org,Premium,2024-05-21,True
C400,Mr. James Rodriguez,davidfinley@example.com,Regular,2026-03-06,True
C401,Jose Stephens,xmartinez@example.net,Regular,2025-03-10,True
C402,Richard Rivera,velezkenneth@example.net,Premium,2024-07-12,True
C403,Kaitlyn Mcneil,deborah35@example.com,VIP,2023-05-09,True
C404,Rhonda Ford,garydavis@example.org,Premium,2025-04-25,True
C405,Kevin Gray,stephanie17@example.org,VIP,2026-07-12,True
C406,Robin Villanueva,brenda68@example.net,VIP,2024-05-01,True
C407,Jeff Shaw,curtisclayton@example.net,VIP,2024-01-18,True
