Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1321,CA-2017-167703,2/3/2017,2/8/2017,Second Class,MC-17575,Matt Collins,Consumer,United States,Cincinnati,Ohio,45231,East,OFF-BI-10002071,Office Supplies,Binders,Fellowes Black Plastic Comb Bindings,19.754,4,0.15,-10.3709
1364,US-2017-155425,11/10/2017,11/11/2017,Standard Class,AB-10600,Ann Blume,Corporate,United States,Tucson,Arizona,85705,West,OFF-BI-10001036,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,83.174,13,0.3,-38.8145
1451,US-2015-160150,7/19/2015,7/20/2015,Same Day,TS-21085,Thais Sissman,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10004352,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders,9.45,2,0.3,-4.41
1461,CA-2015-119907,12/1/2015,12/8/2015,First Class,LC-17140,Logan Currie,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,24.248,1,0.3,7.2744
1562,CA-2017-107293,9/5/2017,9/6/2017,Same Day,CS-12400,Christopher Schild,Home Office,United States,Seattle,Washington,98115,West,OFF-AR-10003732,Office Supplies,Art,Newell 333,2.224,1,0.2,0.3558
1687,CA-2017-149489,4/24/2017,4/27/2017,Second Class,DK-12835,Damala Kotsonis,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10002414,Office Supplies,Binders,GBC ProClick Spines for 32-Hole Punch,50.12,4,0.0,-20.8833
1773,CA-2016-129686,11/27/2016,11/29/2016,First Class,GG-14650,Greg Guthrie,Corporate,United States,Chicago,Illinois,60623,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,72.8,8,0.3,19.11
1842,CA-2016-157763,7/18/2016,7/23/2016,Second Class,KH-16330,Katharine Harms,Corporate,United States,Bowling Green,Kentucky,42104,South,FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,253.458,3,0.4,20.2766
1855,CA-2015-160472,7/20/2015,7/25/2015,Standard Class,RK-19300,Ralph Kennedy,Consumer,United States,South Bend,Indiana,46614,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,26.9226
1921,US-2017-111423,8/17/2017,8/19/2017,Standard Class,EH-13765,Edward Hooks,Corporate,United States,Watertown,New York,13601,East,FUR-CH-10003981,Furniture,Chairs,Global Commerce Series Low-Back Swivel/Tilt Chairs,616.752,4,0.4,37.6904
2000,CA-2014-131905,2/6/2014,2/9/2014,Second Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,142.051,7,0.3,19.8871
2021,CA-2016-168354,9/19/2016,9/21/2016,Second Class,RH-19510,Rick Huthwaite,Home Office,United States,Providence,Rhode Island,2908,East,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",1427.76,10,0.2,285.552
2117,CA-2015-159786,10/12/2015,10/17/2015,Standard Class,RK-19300,Ralph Kennedy,Consumer,United States,Rochester,New York,14609,East,FUR-TA-10001307,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",1048.35,3,0.0,139.78
2122,CA-2017-158246,11/9/2017,11/11/2017,Same Day,JB-15400,Jennifer Braxton,Corporate,United States,Sunnyvale,California,94086,West,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",359.96,5,0.2,-4.4995
2140,CA-2014-159520,6/6/2014,6/11/2014,First Class,GT-14635,Grant Thornton,Corporate,United States,Long Beach,New York,11561,East,OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,207.7,10,0.0,90.8687
2245,CA-2017-103380,11/21/2017,11/25/2017,Same Day,BF-11005,Barry Franz,Home Office,United States,Pasadena,California,91104,West,OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,16.236,4,0.1,5.5202
2282,CA-2017-142622,10/30/2017,11/2/2017,Same Day,JK-15625,Jim Karlsson,Consumer,United States,Seattle,Washington,98115,West,FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,179.982,3,0.4,-1.7998
2374,CA-2016-159940,7/7/2016,7/11/2016,Same Day,BF-11020,Barry Französisch,Corporate,United States,Aurora,Illinois,60505,Central,OFF-PA-10001609,Office Supplies,Paper,Tops Wirebound Message Log Books,26.32,8,0.0,11.186
2384,US-2017-117534,3/25/2017,3/26/2017,Standard Class,CV-12295,Christina VanderZanden,Consumer,United States,Fresno,California,93727,West,OFF-AR-10003087,Office Supplies,Art,Staples in misc. colors,14.24,8,0.0,3.9872
2430,CA-2016-169922,6/11/2016,6/17/2016,Second Class,MZ-17515,Mary Zewe,Corporate,United States,Arlington,Texas,76017,Central,FUR-FU-10004415,Furniture,Furnishings,"Stacking Tray, Side-Loading, Legal, Smoke",24.192,6,0.1,-11.4912
2464,CA-2017-148691,12/3/2017,12/9/2017,Second Class,CS-12460,Chuck Sachs,Consumer,United States,New York City,New York,10009,East,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,8.226,1,0.1,3.2904
2475,CA-2016-114972,11/3/2016,11/6/2016,Same Day,PF-19225,Phillip Flathmann,Consumer,United States,Los Angeles,California,90032,West,TEC-AC-10000682,Technology,Accessories,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,39.816,4,0.4,5.9724
2521,CA-2016-124352,10/15/2016,10/21/2016,Second Class,CD-12790,Cynthia Delaney,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,OFF-AP-10002651,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,1447.65,5,0.0,419.8185
2563,CA-2015-144288,12/25/2015,12/31/2015,Second Class,MB-17305,Maria Bertelson,Consumer,United States,Nashville,Tennessee,37211,South,OFF-PA-10002787,Office Supplies,Paper,Xerox 227,23.328,4,0.1,9.3312
2668,CA-2016-111794,10/1/2016,10/1/2016,First Class,HG-15025,Hunter Glantz,Consumer,United States,Amarillo,Texas,79109,Central,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,95.688,3,0.1,37.0791
2793,CA-2014-125514,9/21/2014,9/22/2014,Standard Class,BM-11650,Brian Moss,Corporate,United States,Omaha,Nebraska,68104,Central,OFF-PA-10000029,Office Supplies,Paper,Xerox 224,12.96,2,0.0,6.2208
2846,CA-2017-138163,11/17/2017,11/20/2017,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Everett,Massachusetts,2149,East,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,67.92,4,0.0,19.0176
2903,CA-2016-164035,6/12/2016,6/17/2016,Same Day,CR-12730,Craig Reiter,Consumer,United States,Chicago,Illinois,60610,Central,OFF-PA-10002160,Office Supplies,Paper,Xerox 1978,20.808,6,0.4,5.4621
2917,CA-2015-134747,10/12/2015,10/17/2015,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,Noblesville,Indiana,46060,Central,TEC-PH-10001750,Technology,Phones,Samsung Rugby III,138.579,3,0.3,16.6295
3016,US-2015-138919,9/17/2015,9/21/2015,Same Day,LS-16975,Lindsay Shagiari,Home Office,United States,New York City,New York,10035,East,FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",688.44,3,0.2,-137.688
3028,CA-2014-106719,8/24/2014,8/24/2014,Standard Class,RB-19645,Robert Barroso,Corporate,United States,Billings,Montana,59102,West,OFF-BI-10002799,Office Supplies,Binders,"SlimView Poly Binder, 3/8""",12.432,4,0.4,2.7972
3030,US-2016-164189,3/24/2016,3/28/2016,First Class,DR-12880,Dan Reichenbach,Corporate,United States,Gresham,Oregon,97030,West,TEC-PH-10003691,Technology,Phones,BlackBerry Q10,340.173,3,0.1,38.2695
3204,CA-2014-158372,11/10/2014,11/16/2014,First Class,RD-19900,Ruben Dartt,Consumer,United States,San Diego,California,92037,West,TEC-AC-10004209,Technology,Accessories,Memorex Froggy Flash Drive 4 GB,13.188,2,0.4,2.5057
3215,CA-2016-132409,5/26/2016,6/1/2016,Same Day,TH-21235,Tiffany House,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-AP-10002082,Office Supplies,Appliances,Holmes HEPA Air Purifier,18.513,1,0.15,3.934
3254,CA-2017-110373,10/27/2017,10/30/2017,Standard Class,MA-17560,Matt Abelman,Home Office,United States,Chicago,Illinois,60610,Central,TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,10.194,1,0.4,-0.2548
3273,CA-2015-146038,2/9/2015,2/16/2015,First Class,SJ-20215,Sarah Jordon,Consumer,United States,Los Angeles,California,90049,West,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",163.136,4,0.2,18.3528
3275,CA-2017-116358,11/2/2017,11/6/2017,Second Class,KM-16225,Kalyca Meade,Corporate,United States,Overland Park,Kansas,66212,Central,OFF-FA-10003495,Office Supplies,Fasteners,Staples,10.944,2,0.1,4.9248
3334,CA-2017-122595,12/14/2017,12/20/2017,First Class,GM-14455,Gary Mitchum,Home Office,United States,Chicago,Illinois,60653,Central,FUR-FU-10002963,Furniture,Furnishings,"Master Caster Door Stop, Gray",8.636,2,0.15,-3.6703
3346,CA-2016-145982,8/27/2016,9/1/2016,Standard Class,TB-21055,Ted Butterfield,Consumer,United States,Quincy,Massachusetts,2169,East,OFF-FA-10000735,Office Supplies,Fasteners,Staples,17.52,6,0.0,7.884
3409,US-2014-150119,4/23/2014,4/27/2014,Second Class,LB-16795,Laurel Beltran,Home Office,United States,Columbus,Ohio,43229,East,FUR-FU-10002191,Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs,17.799,3,0.15,6.6746
3471,US-2016-150035,12/1/2016,12/5/2016,First Class,CL-11890,Carl Ludwig,Consumer,United States,San Francisco,California,94122,West,FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,7.533,1,0.1,1.5819
3485,CA-2014-124688,8/27/2014,8/29/2014,Standard Class,CC-12610,Corey Catlett,Corporate,United States,Springfield,Virginia,22153,South,FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,1804.41,5,0.1,360.882
3539,CA-2014-158771,5/9/2014,5/9/2014,First Class,SB-20290,Sean Braxton,Corporate,United States,Henderson,Kentucky,42420,South,OFF-LA-10001641,Office Supplies,Labels,Avery 518,7.56,4,0.4,2.1168
3546,CA-2017-121216,12/23/2017,12/25/2017,First Class,MM-17920,Michael Moore,Consumer,United States,College Station,Texas,77840,Central,OFF-AP-10001947,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,102.592,7,0.2,-230.832
3553,CA-2016-152555,3/29/2016,4/2/2016,First Class,ME-17320,Maria Etezadi,Home Office,United States,Chicago,Illinois,60653,Central,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,685.746,9,0.4,-17.1437
3567,CA-2017-103877,9/7/2017,9/14/2017,Second Class,RD-19660,Robert Dilbeck,Home Office,United States,Independence,Missouri,64055,Central,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,736.372,2,0.3,243.0028
3573,US-2017-126081,6/29/2017,7/4/2017,Same Day,FC-14335,Fred Chung,Corporate,United States,Mesquite,Texas,75150,Central,OFF-PA-10003953,Office Supplies,Paper,Xerox 218,12.96,2,0.0,5.832
3709,CA-2014-120544,11/23/2014,11/27/2014,First Class,SS-20140,Saphhira Shifley,Corporate,United States,Mesquite,Texas,75150,Central,OFF-AP-10004336,Office Supplies,Appliances,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",182.272,4,0.2,-410.112
3712,CA-2017-113670,10/15/2017,10/17/2017,Standard Class,RS-19765,Roland Schwarz,Corporate,United States,Los Angeles,California,90045,West,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,229.544,7,0.2,89.5222
3847,CA-2014-101931,10/28/2014,10/31/2014,Same Day,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,26.9226
3854,US-2017-131849,6/6/2017,6/10/2017,Same Day,GH-14410,Gary Hansen,Home Office,United States,San Francisco,California,94122,West,FUR-FU-10004164,Furniture,Furnishings,"Eldon 300 Class Desk Accessories, Black",8.91,2,0.1,3.4749
3866,CA-2014-124709,7/27/2014,7/29/2014,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,San Francisco,California,94122,West,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,303.45,3,0.15,25.7932
3878,CA-2016-140641,10/28/2016,11/2/2016,Same Day,EP-13915,Emily Phan,Consumer,United States,Tampa,Florida,33614,South,OFF-BI-10001191,Office Supplies,Binders,Canvas Sectional Post Binders,178.22,7,0.0,-62.377
3881,CA-2015-129896,6/15/2015,6/20/2015,Same Day,PF-19120,Peter Fuller,Consumer,United States,Gilbert,Arizona,85234,West,OFF-PA-10002245,Office Supplies,Paper,Xerox 1895,3.588,1,0.4,0.7625
3884,CA-2015-129896,6/15/2015,6/20/2015,Second Class,PF-19120,Peter Fuller,Consumer,United States,Gilbert,Arizona,85234,West,FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",62.9,5,0.0,23.5875
3967,CA-2016-149902,4/1/2016,4/6/2016,Second Class,DW-13540,Don Weiss,Consumer,United States,New York City,New York,10024,East,OFF-AR-10002956,Office Supplies,Art,Boston 16801 Nautilus Battery Pencil Sharpener,112.251,6,0.15,20.7664
4007,US-2015-168732,12/10/2015,12/16/2015,First Class,KM-16660,Khloe Miller,Consumer,United States,Roswell,Georgia,30076,South,OFF-PA-10000520,Office Supplies,Paper,Xerox 201,33.048,6,0.15,13.3844
4028,CA-2017-139311,8/11/2017,8/13/2017,Standard Class,SF-20965,Sylvia Foulston,Corporate,United States,Bedford,Texas,76021,Central,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,76.792,1,0.2,6.7193
4092,CA-2016-161473,4/1/2016,4/5/2016,First Class,TB-21175,Thomas Boland,Corporate,United States,New York City,New York,10035,East,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,7.176,2,0.4,1.6146
4119,CA-2015-153416,11/24/2015,11/29/2015,Same Day,TS-21340,Toby Swindell,Consumer,United States,Los Angeles,California,90036,West,OFF-ST-10000060,Office Supplies,Storage,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,467.856,9,0.2,9.3571
4153,CA-2017-100160,9/7/2017,9/11/2017,Second Class,CB-12025,Cassandra Brandow,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-PA-10003072,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,5,0.4,4.86
4203,CA-2015-143105,12/10/2015,12/10/2015,Standard Class,MA-17560,Matt Abelman,Home Office,United States,New York City,New York,10024,East,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,179.384,8,0.15,69.0628
4229,CA-2016-113803,3/24/2016,3/26/2016,Standard Class,VG-21805,Vivek Grady,Corporate,United States,Richmond,Indiana,47374,Central,OFF-PA-10001994,Office Supplies,Paper,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",57.324,3,0.15,22.0697
4234,CA-2017-100223,7/5/2017,7/10/2017,Same Day,LS-16945,Linda Southworth,Corporate,United States,Dallas,Texas,75220,Central,OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,85.266,3,0.1,-110.8458
4237,CA-2016-162404,7/23/2016,7/27/2016,Same Day,NF-18475,Neil Französisch,Home Office,United States,Rockford,Illinois,61107,Central,OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",68.496,6,0.2,-92.4696
4296,CA-2017-169124,7/3/2017,7/10/2017,First Class,MB-17305,Maria Bertelson,Consumer,United States,Citrus Heights,California,95610,West,FUR-FU-10001215,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",51.756,2,0.4,11.3863
4412,CA-2014-130624,6/21/2014,6/24/2014,Standard Class,TB-21280,Toby Braunhardt,Consumer,United States,New York City,New York,10024,East,OFF-PA-10003883,Office Supplies,Paper,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",29.475,5,0.1,12.0848
4422,CA-2014-117016,3/4/2014,3/9/2014,Same Day,SC-20095,Sanjit Chand,Consumer,United States,Margate,Florida,33063,South,OFF-AR-10001374,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",29.16,5,0.1,5.832
4460,US-2017-125717,9/28/2017,10/1/2017,Second Class,DS-13030,Darrin Sayre,Home Office,United States,Aurora,Colorado,80013,West,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,36.873,1,0.1,5.531
4470,CA-2017-168641,11/24/2017,12/1/2017,Same Day,KA-16525,Kelly Andreada,Consumer,United States,New York City,New York,10035,East,OFF-PA-10001972,Office Supplies,Paper,Xerox 214,22.032,4,0.15,8.923
4473,CA-2017-121300,9/29/2017,9/29/2017,Second Class,MG-17680,Maureen Gastineau,Home Office,United States,Mentor,Ohio,44060,East,TEC-AC-10004571,Technology,Accessories,Logitech G700s Rechargeable Gaming Mouse,399.96,4,0.0,149.985
4518,US-2016-128678,9/15/2016,9/20/2016,First Class,RB-19570,Rob Beeghly,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",62.568,9,0.2,20.3346
4525,CA-2014-107454,11/2/2014,11/6/2014,Second Class,RD-19720,Roger Demir,Consumer,United States,New York City,New York,10024,East,FUR-FU-10004018,Furniture,Furnishings,Tensor Computer Mounted Lamp,52.115,5,0.3,6.2538
4574,CA-2016-139395,12/12/2016,12/18/2016,First Class,MG-17650,Matthew Grinstein,Home Office,United States,Jackson,Michigan,49201,Central,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,761.319,9,0.1,175.1034
4665,CA-2016-116232,9/22/2016,9/26/2016,First Class,AC-10450,Amy Cox,Consumer,United States,Pembroke Pines,Florida,33024,South,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,25.993,11,0.15,-13.6463
4687,CA-2016-159912,8/29/2016,9/3/2016,Second Class,GB-14530,George Bell,Corporate,United States,Philadelphia,Pennsylvania,19120,East,OFF-FA-10000053,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,13.608,9,0.2,-3.0618
4800,US-2016-148901,5/14/2016,5/19/2016,Second Class,MK-17905,Michael Kennedy,Corporate,United States,Jacksonville,Florida,32216,South,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",65.4,6,0.0,13.08
4803,US-2016-148901,5/14/2016,5/19/2016,Second Class,MK-17905,Michael Kennedy,Corporate,United States,Jacksonville,Florida,32216,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,33.48,10,0.4,-19.53
4897,CA-2016-135776,12/23/2016,12/30/2016,Second Class,EH-13765,Edward Hooks,Corporate,United States,Seattle,Washington,98103,West,OFF-ST-10003470,Office Supplies,Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1425.348,6,0.15,-35.6337
4905,US-2014-161613,12/1/2014,12/3/2014,Standard Class,MC-17605,Matt Connell,Corporate,United States,Houston,Texas,77070,Central,FUR-CH-10003746,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,1155.528,4,0.1,82.5377
4918,CA-2017-163125,10/9/2017,10/11/2017,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,League City,Texas,77573,Central,FUR-CH-10001802,Furniture,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,145.176,2,0.4,-25.9243
5133,CA-2015-123330,6/21/2015,6/27/2015,First Class,EP-13915,Emily Phan,Consumer,United States,Deltona,Florida,32725,South,TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,89.98,2,0.0,40.491
5280,US-2017-104094,9/7/2017,9/11/2017,Same Day,AG-10675,Anna Gayman,Consumer,United States,Milwaukee,Wisconsin,53209,Central,TEC-AC-10002134,Technology,Accessories,Rosewill 107 Normal Keys USB Wired Standard Keyboard,10.784,1,0.2,0.4314
5284,CA-2014-133424,3/30/2014,4/4/2014,Second Class,Dl-13600,Dorris liebe,Corporate,United States,Seattle,Washington,98105,West,OFF-ST-10002957,Office Supplies,Storage,Sterilite Show Offs Storage Containers,10.56,2,0.0,0.0
5285,CA-2014-133424,3/30/2014,4/4/2014,Second Class,Dl-13600,Dorris liebe,Corporate,United States,Seattle,Washington,98105,West,OFF-LA-10002312,Office Supplies,Labels,Avery 490,62.9,5,0.15,26.7325
5332,CA-2016-123120,9/4/2016,9/8/2016,First Class,CV-12295,Christina VanderZanden,Consumer,United States,New York City,New York,10011,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,106.05,7,0.0,46.3969
5367,CA-2017-158071,6/10/2017,6/15/2017,Same Day,BD-11320,Bill Donatelli,Consumer,United States,Seattle,Washington,98103,West,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",110.97,5,0.4,-1.3871
5535,US-2016-167472,6/6/2016,6/7/2016,Same Day,CK-12595,Clytie Kelty,Consumer,United States,Little Rock,Arkansas,72209,South,OFF-PA-10000157,Office Supplies,Paper,Xerox 191,69.93,5,0.3,22.3776
5547,CA-2017-151008,9/7/2017,9/8/2017,Same Day,JM-16195,Justin MacKendrick,Consumer,United States,Draper,Utah,84020,West,FUR-FU-10002396,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",37.74,3,0.0,15.8508
5668,CA-2016-142405,6/11/2016,6/15/2016,Same Day,SE-20110,Sanjit Engle,Consumer,United States,Seattle,Washington,98103,West,OFF-LA-10004093,Office Supplies,Labels,Avery 486,6.579,1,0.1,2.7632
5681,CA-2016-141551,9/24/2016,9/30/2016,Second Class,BP-11230,Benjamin Patterson,Consumer,United States,Broken Arrow,Oklahoma,74012,Central,OFF-BI-10001249,Office Supplies,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings,10.846,2,0.15,4.1757
